#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
43.0%	23650	47.30000000001184	-457946.62594068097	4496.874635361135	-453449.75130531983	312.5395566176156	18.996129834985606	0.9098832278815177	88.9	1:00
43.1%	23700	47.400000000011964	-457939.9334538531	4434.772161822766	-453505.16129203036	308.2233412195004	18.91347319609621	0.9138596466290826	89.1	1:00
43.2%	23750	47.500000000012086	-458046.63933179015	4558.756200162694	-453487.88313162746	316.840418525973	19.028330161032216	0.908343495474408	89.3	1:00
43.3%	23800	47.60000000001221	-457856.6527318985	4561.665457116207	-453294.98727478227	317.0426162637502	19.140315880979728	0.9030289802421162	89.5	1:00
43.4%	23850	47.70000000001233	-457752.2000214309	4567.7925586197525	-453184.40746281116	317.4684590418012	19.16856548878665	0.9016981443720534	89.6	1:00
43.5%	23900	47.80000000001245	-457883.0383955047	4611.51360261091	-453271.5247928938	320.5071374155332	19.07455764206384	0.9061421111752175	89.8	0:59
43.5%	23950	47.900000000012575	-457922.87244948035	4501.569704422727	-453421.3027450576	312.86587098521215	18.823742121288824	0.9182159328439465	90	0:59
43.6%	24000	48.0000000000127	-457872.60377635364	4420.550816239789	-453452.05296011386	307.234936293097	18.980509050204486	0.9106320534288775	90.2	0:59
43.7%	24050	48.10000000001282	-457868.6642679442	4340.609398566186	-453528.054869378	301.67888742337243	19.0212072703204	0.9086836437812481	90.3	0:59
43.8%	24100	48.20000000001294	-457889.98396588303	4383.552487563342	-453506.4314783197	304.66349675391115	19.052494726203253	0.9071914297785759	90.5	0:58
43.9%	24150	48.300000000013064	-458005.24209930014	4392.705687956419	-453612.5364113437	305.29965796018297	19.092860032633897	0.9052734845366542	90.7	0:58
44.0%	24200	48.400000000013186	-457990.16972495546	4290.32797371738	-453699.8417512381	298.18425270423353	19.130884898391802	0.9034741478668387	90.8	0:58
44.1%	24250	48.50000000001331	-458066.8158675073	4383.322649217676	-453683.49321828963	304.64752264289564	18.975403197044233	0.910877083982355	91	0:58
44.2%	24300	48.60000000001343	-458018.8476397566	4368.9061287958175	-453649.9415109608	303.6455527713796	19.02537498470312	0.9084845867905408	91.2	0:58
44.3%	24350	48.70000000001355	-458081.297022782	4474.123731904663	-453607.1732908773	310.958334578864	19.03056065721482	0.908237032152825	91.3	0:57
44.4%	24400	48.800000000013675	-458166.1705839557	4500.194999141619	-453665.9755848141	312.77032689873505	19.08456829352315	0.9056668018725357	91.5	0:57
44.5%	24450	48.9000000000138	-457948.4654677953	4362.1738140439265	-453586.2916537514	303.17764676149875	19.15149530105972	0.9025018495843876	91.7	0:57
44.5%	24500	49.00000000001392	-458011.7530654516	4384.8290605708025	-453626.92400488077	304.75222049964435	19.15149530105972	0.9025018495843876	91.8	0:57
44.6%	24550	49.10000000001404	-457898.6926812324	4434.100651704706	-453464.5920295277	308.1766702554241	19.339405647030404	0.8937327365159815	92	0:57
44.7%	24600	49.200000000014164	-457899.76603497396	4521.519751992077	-453378.2462829819	314.25242932348436	19.284366339483206	0.896283529738022	92.2	0:56
44.8%	24650	49.300000000014286	-457867.64675374643	4491.476684436202	-453376.17006931023	312.1643909024195	19.267181782059748	0.8970829323677737	92.3	0:56
44.9%	24700	49.40000000001441	-457922.5972652521	4546.498101875186	-453376.0991633769	315.9884622420182	19.324471992995967	0.8944233993962515	92.5	0:56
45.0%	24750	49.50000000001453	-457783.451594841	4554.63062858209	-453228.82096625894	316.5536850906095	19.33292127879503	0.8940324993963039	92.7	0:56
