#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
18.2%	1000	2.0000000000000013	-459579.44460145704	3751.402627380681	-455828.04197407636	260.72812985180275	18.07639047402642	0.9561787214293965	413	0:01
19.1%	1050	2.0999999999999903	-459435.1554221231	3780.023419480305	-455655.1320026428	262.71731798760743	18.178086438975765	0.9508294500379204	410	0:01
20.0%	1100	2.1999999999999793	-459421.19015739154	3924.0943708373234	-455497.0957865542	272.73046598700336	18.050113376938707	0.9575707127466536	413	0:01
20.9%	1150	2.2999999999999683	-459238.06711051654	3817.1071337261237	-455420.9599767904	265.2946919524015	18.050113376938707	0.9575707127466536	416	0:01
21.8%	1200	2.3999999999999573	-459108.311745658	3855.981899214443	-455252.32984644355	267.996546674744	18.25072836278949	0.9470449391353131	417	0:01
22.7%	1250	2.4999999999999463	-459063.8357191916	3958.649960710667	-455105.1857584809	275.1321315021479	18.2397608698843	0.9476143933471836	419	0:01
23.6%	1300	2.5999999999999353	-459040.4958754416	4006.2321462174878	-455034.2637292241	278.4391650236649	18.2397608698843	0.9476143933471836	419	0:01
24.5%	1350	2.6999999999999242	-458918.1392253356	3977.878052411601	-454940.261172924	276.46851282075454	18.419439930302957	0.9383705474712999	419	0:01
25.5%	1400	2.7999999999999132	-458991.3950626334	4048.6019021142274	-454942.79316051916	281.38392684064627	18.236519501684867	0.9477828228087174	419	0:01
26.4%	1450	2.899999999999902	-458893.2583438834	3976.244648829539	-454917.0136950539	276.35498881292455	18.236519501684867	0.9477828228087174	419	0:01
27.3%	1500	2.999999999999891	-458871.1919376334	4080.4778884951957	-454790.7140491382	283.5993558792761	18.236519501684867	0.9477828228087174	416	0:01
28.2%	1550	3.09999999999988	-458716.57035560213	4094.822995723516	-454621.7473598786	284.596362426338	18.236519501684867	0.9477828228087174	413	0:01
29.1%	1600	3.199999999999869	-458699.90559155424	4104.309524063952	-454595.5960674903	285.2556904267331	18.31577256763581	0.9436817293775859	411	0:01
30.0%	1650	3.299999999999858	-458743.025587685	4192.706941862591	-454550.3186458224	291.3994440345563	18.243840186650036	0.9474025070752864	412	0:01
30.9%	1700	3.399999999999847	-458740.48018790485	4361.024800738785	-454379.45538716606	303.09778860710134	18.30869001425846	0.9440467842348335	414	0:01
31.8%	1750	3.499999999999836	-458679.1600213131	4326.1637524124235	-454352.9962689007	300.67489326964403	18.37759705186275	0.9405070686192445	417	0:01
32.7%	1800	3.599999999999825	-458501.40757990687	4328.726769930217	-454172.68080997665	300.8530268454203	18.37759705186275	0.9405070686192445	418	0:01
33.6%	1850	3.699999999999814	-458378.3158934283	4236.457473322749	-454141.85842010553	294.4401718317734	18.365767356492313	0.9411128648214696	413	0:01
34.5%	1900	3.799999999999803	-458405.7098397205	4254.993017281406	-454150.7168224391	295.7284200397512	18.517230749948563	0.9334149455129039	413	0:01
35.5%	1950	3.899999999999792	-458373.85431365814	4364.1652731595095	-454009.68904049863	303.3160561679145	18.57460264072129	0.93053188086084	413	0:01
36.4%	2000	3.999999999999781	-458255.15347378555	4156.613540477527	-454098.539933308	288.890898304372	18.620026741093643	0.9282618210943516	412	0:01
37.3%	2050	4.0999999999997705	-458259.53549713455	4166.091175070498	-454093.44432206405	289.54960817592996	18.598610182268384	0.9293307275181047	411	0:01
38.2%	2100	4.1999999999997595	-458279.0127357934	4374.725918496959	-453904.28681729647	304.0500369165456	18.500872526637302	0.9342402584865913	411	0:01
39.1%	2150	4.2999999999997485	-458220.33392601466	4344.6305743940175	-453875.70335162064	301.958365196764	18.632367205874758	0.92764702093588	411	0:01
40.0%	2200	4.3999999999997375	-458271.8303388485	4419.8684841901995	-453851.9618546583	307.18751318848837	18.744583139069746	0.9220935884931549	412	0:01
40.9%	2250	4.499999999999726	-458322.7180192323	4498.927830229513	-453823.7901890028	312.68225675178576	18.649909107322536	0.9267744862481269	413	0:01
41.8%	2300	4.599999999999715	-458347.2918319618	4470.813019627705	-453876.47881233407	310.7282350917686	18.609638358745944	0.9287800008961512	412	0:01
42.7%	2350	4.699999999999704	-458184.12020843005	4331.422534583136	-453852.6976738469	301.04038654692135	18.45568600084537	0.9365276333115656	412	0:01
43.6%	2400	4.799999999999693	-458201.1506225639	4358.152399173006	-453842.9982233909	302.8981523742527	18.59532251528984	0.929495033888295	412	0:01
44.5%	2450	4.899999999999682	-458166.31881434453	4382.9414394747	-453783.37737486983	304.6210279918971	18.753721837695956	0.9216442517970405	412	0:01
45.5%	2500	4.999999999999671	-458184.90182215703	4427.478578373208	-453757.4232437838	307.7164261902147	18.753721837695956	0.9216442517970405	410	0:01
46.4%	2550	5.09999999999966	-458148.41382751585	4418.561333528021	-453729.8524939878	307.09666424972164	18.70224189554141	0.9241811772113615	408	0:01
47.3%	2600	5.199999999999649	-458167.51148376585	4455.744173788931	-453711.7673099769	309.6809276217858	18.70224189554141	0.9241811772113615	406	0:01
48.2%	2650	5.299999999999638	-458249.30991638853	4556.854628849775	-453692.45528753876	316.7082564571568	18.72826964258922	0.9228967897924566	405	0:01
49.1%	2700	5.399999999999627	-458220.8577077415	4443.643433126155	-453777.21427461534	308.83990792963135	18.87219977190285	0.9158582539617939	402	0:01
50.0%	2750	5.499999999999616	-458271.9494177284	4343.924716853537	-453928.02470087487	301.90930703512385	19.00333594197311	0.9095381981506184	403	0:01
50.9%	2800	5.599999999999605	-458205.56611694716	4309.579911016626	-453895.98620593053	299.5222913278194	19.00333594197311	0.9095381981506184	403	0:01
51.8%	2850	5.699999999999594	-458046.91814899596	4251.412873678841	-453795.5052753171	295.4795946699323	19.086486857025644	0.9055757647275383	403	0:01
52.7%	2900	5.799999999999583	-457991.2273941718	4289.333601644961	-453701.89379252685	298.1151423483026	19.137481709476692	0.9031627146091071	404	0:01
53.6%	2950	5.899999999999572	-458148.05466731265	4457.387854091823	-453690.6668132208	309.7951658771838	18.9793104262808	0.9106895637040351	405	0:01
54.5%	3000	5.999999999999561	-458019.4344359671	4422.2607654868625	-453597.17367048026	307.35378033987485	19.009289786666006	0.9092533243213056	403	0:01
55.5%	3050	6.09999999999955	-457908.98740112607	4352.065260357689	-453556.9221407684	302.4750870631922	18.898353473303775	0.9145907846378908	403	0:01
56.4%	3100	6.199999999999539	-457930.7121491901	4401.660775427474	-453529.0513737626	305.922050020141	18.955277814795068	0.9118441892749423	403	0:01
57.3%	3150	6.299999999999528	-458046.4125448173	4442.66923346417	-453603.74331135314	308.7721995865925	18.89462097600365	0.9147714555091782	402	0:01
58.2%	3200	6.399999999999517	-458004.1757461917	4298.005263422849	-453706.17048276885	298.71783589592496	19.038502721968804	0.9078581537595679	404	0:00
59.1%	3250	6.499999999999506	-458133.46894746536	4332.015314445132	-453801.4536330202	301.08158563968306	18.97041098020829	0.9111167886423581	404	0:00
